"Day_of_Week","Mode","Rounded_Hour","Average_Passenger_Boardings"
"Sunday","Metro",7,3.60884749708964
"Sunday","Metro",8,5.02598366740906
"Sunday","Metro",9,7.23107569721116
"Sunday","Metro",10,7.0182841068917
"Sunday","Metro",11,6.85763888888889
"Sunday","Metro",12,6.95429849792266
"Sunday","Metro",13,6.73083197389886
"Sunday","Metro",14,7.24462365591398
"Sunday","Metro",15,7.4960279631395
"Sunday","Metro",16,8.62942513803183
"Sunday","Metro",17,6.84927169094364
"Sunday","Metro",18,6.96599537801255
"Sunday","Metro",19,4.74527965799786
"Sunday","Metro",20,3.78967314069162
"Sunday","Metro",21,3.85185185185185
"Sunday","Metro",22,4.91547464239272
"Sunday","Metro",23,2.98381421534131
"Sunday","VLine",0,1.37931034482759
"Sunday","VLine",1,0
"Sunday","VLine",5,0
"Sunday","VLine",6,3.75
"Sunday","VLine",7,6.51515151515152
"Sunday","VLine",8,5.6198347107438
"Sunday","VLine",9,4.95145631067961
"Sunday","VLine",10,8.65
"Sunday","VLine",11,6.95833333333333
"Sunday","VLine",12,7.45901639344262
"Sunday","VLine",13,6.10894941634241
"Sunday","VLine",14,5.87982832618026
"Sunday","VLine",15,8.73873873873874
"Sunday","VLine",16,5.06276150627615
"Sunday","VLine",17,6.57258064516129
"Sunday","VLine",18,5.25423728813559
"Sunday","VLine",19,5.21052631578947
"Sunday","VLine",20,1.48717948717949
"Sunday","VLine",21,3.31550802139037
"Sunday","VLine",22,1.15789473684211
"Sunday","VLine",23,2.75862068965517
"Thursday","Metro",0,1.53555219364599
"Thursday","Metro",1,0.207100591715976
"Thursday","Metro",2,0.588235294117647
"Thursday","Metro",3,0
"Thursday","Metro",4,0.294117647058824
"Thursday","Metro",5,1.32061628760088
"Thursday","Metro",6,3.88317191283293
"Thursday","Metro",7,7.63443017656501
"Thursday","Metro",8,12.6185928048392
"Thursday","Metro",9,7.30692076228686
"Thursday","Metro",10,5.88958478311297
"Thursday","Metro",11,5.92804111936037
"Thursday","Metro",12,6.2578977599081
"Thursday","Metro",13,7.07008244994111
"Thursday","Metro",14,8.22013341419042
"Thursday","Metro",15,10.3939962476548
"Thursday","Metro",16,12.1602713589146
"Thursday","Metro",17,11.8080316945795
"Thursday","Metro",18,9.76951938538503
"Thursday","Metro",19,5.21345707656613
"Thursday","Metro",20,4.02499177902006
"Thursday","Metro",21,4.25669835782195
"Thursday","Metro",22,5.57240704500978
"Thursday","Metro",23,3.49197860962567
"Thursday","VLine",0,0.344827586206897
"Thursday","VLine",1,0.27027027027027
"Thursday","VLine",2,0
"Thursday","VLine",3,0
"Thursday","VLine",4,5
"Thursday","VLine",5,6.20689655172414
"Thursday","VLine",6,6.86832740213523
"Thursday","VLine",7,11.7223650385604
"Thursday","VLine",8,10.3958333333333
"Thursday","VLine",9,5.95477386934673
"Thursday","VLine",10,5.22565320665083
"Thursday","VLine",11,4.65011286681716
"Thursday","VLine",12,4.82191780821918
"Thursday","VLine",13,4.66124661246612
"Thursday","VLine",14,5.73816155988858
"Thursday","VLine",15,10.5185185185185
"Thursday","VLine",16,10.2465753424658
"Thursday","VLine",17,15
"Thursday","VLine",18,11.9247787610619
"Thursday","VLine",19,3.92941176470588
"Thursday","VLine",20,3.6741214057508
"Thursday","VLine",21,2.86173633440514
"Thursday","VLine",22,3.44398340248963
"Thursday","VLine",23,2.08955223880597
"Tuesday","Metro",0,0.894039735099338
"Tuesday","Metro",1,0
"Tuesday","Metro",2,0
"Tuesday","Metro",4,0.161290322580645
"Tuesday","Metro",5,1.37905048982668
"Tuesday","Metro",6,3.84314903846154
"Tuesday","Metro",7,8.15684629901447
"Tuesday","Metro",8,12.9009626366455
"Tuesday","Metro",9,7.55286493860846
"Tuesday","Metro",10,5.40540540540541
"Tuesday","Metro",11,5.86647314949202
"Tuesday","Metro",12,5.84678602876431
"Tuesday","Metro",13,6.56853999405293
"Tuesday","Metro",14,7.21441661576054
"Tuesday","Metro",15,9.92594624245749
"Tuesday","Metro",16,11.4235959947758
"Tuesday","Metro",17,11.264367816092
"Tuesday","Metro",18,9.02235144466655
"Tuesday","Metro",19,4.45330830595964
