total,date,Suburb
490,1/08/2021,MELBOURNE
293,1/01/2021,MELBOURNE
363,1/06/2020,MELBOURNE
244,1/08/2020,MELBOURNE
435,1/05/2021,MELBOURNE
438,1/11/2021,MELBOURNE
182,1/09/2020,MELBOURNE
334,1/02/2021,MELBOURNE
373,1/07/2020,MELBOURNE
536,1/05/2022,MELBOURNE
338,1/01/2022,MELBOURNE
271,1/05/2020,MELBOURNE
453,1/12/2021,MELBOURNE
446,1/10/2021,MELBOURNE
363,1/04/2022,MELBOURNE
244,1/04/2020,MELBOURNE
447,1/03/2020,MELBOURNE
535,1/06/2022,MELBOURNE
441,1/02/2022,MELBOURNE
409,1/07/2021,MELBOURNE
464,1/09/2021,MELBOURNE
398,1/01/2020,MELBOURNE
398,1/03/2021,MELBOURNE
528,1/12/2020,MELBOURNE
666,1/11/2020,MELBOURNE
381,1/04/2021,MELBOURNE
518,1/03/2022,MELBOURNE
880,1/10/2020,MELBOURNE
406,1/02/2020,MELBOURNE
76,1/02/2020,EAST MELBOURNE
59,1/12/2021,EAST MELBOURNE
52,1/01/2022,EAST MELBOURNE
69,1/08/2021,EAST MELBOURNE
68,1/06/2022,EAST MELBOURNE
40,1/06/2020,EAST MELBOURNE
58,1/12/2020,EAST MELBOURNE
63,1/04/2020,EAST MELBOURNE
64,1/11/2021,EAST MELBOURNE
55,1/03/2021,EAST MELBOURNE
48,1/01/2021,EAST MELBOURNE
54,1/10/2021,EAST MELBOURNE
39,1/05/2020,EAST MELBOURNE
86,1/02/2022,EAST MELBOURNE
33,1/09/2020,EAST MELBOURNE
73,1/04/2022,EAST MELBOURNE
57,1/11/2020,EAST MELBOURNE
44,1/07/2020,EAST MELBOURNE
61,1/05/2021,EAST MELBOURNE
12,1/08/2020,EAST MELBOURNE
82,1/07/2021,EAST MELBOURNE
35,1/10/2020,EAST MELBOURNE
43,1/02/2021,EAST MELBOURNE
68,1/03/2022,EAST MELBOURNE
105,1/09/2021,EAST MELBOURNE
61,1/04/2021,EAST MELBOURNE
65,1/03/2020,EAST MELBOURNE
67,1/01/2020,EAST MELBOURNE
97,1/05/2022,EAST MELBOURNE
25,1/01/2022,WEST MELBOURNE
38,1/06/2020,WEST MELBOURNE
19,1/05/2021,WEST MELBOURNE
21,1/02/2020,WEST MELBOURNE
25,1/08/2021,WEST MELBOURNE
29,1/11/2020,WEST MELBOURNE
18,1/02/2021,WEST MELBOURNE
15,1/04/2020,WEST MELBOURNE
20,1/09/2021,WEST MELBOURNE
20,1/06/2022,WEST MELBOURNE
32,1/10/2021,WEST MELBOURNE
21,1/07/2021,WEST MELBOURNE
22,1/12/2021,WEST MELBOURNE
11,1/01/2021,WEST MELBOURNE
13,1/05/2020,WEST MELBOURNE
21,1/10/2020,WEST MELBOURNE
27,1/12/2020,WEST MELBOURNE
23,1/11/2021,WEST MELBOURNE
24,1/03/2022,WEST MELBOURNE
22,1/04/2021,WEST MELBOURNE
16,1/03/2020,WEST MELBOURNE
6,1/09/2020,WEST MELBOURNE
27,1/03/2021,WEST MELBOURNE
16,1/04/2022,WEST MELBOURNE
37,1/01/2020,WEST MELBOURNE
23,1/02/2022,WEST MELBOURNE
25,1/05/2022,WEST MELBOURNE
2,1/08/2020,WEST MELBOURNE
8,1/07/2020,WEST MELBOURNE
64,1/06/2020,MELBOURNE
108,1/10/2021,MELBOURNE
116,1/12/2020,MELBOURNE
263,1/02/2022,MELBOURNE
78,1/01/2022,MELBOURNE
103,1/01/2021,MELBOURNE
90,1/11/2020,MELBOURNE
133,1/12/2021,MELBOURNE
378,1/02/2021,MELBOURNE
357,1/05/2021,MELBOURNE
127,1/01/2020,MELBOURNE
169,1/02/2020,MELBOURNE
121,1/09/2021,MELBOURNE
30,1/04/2020,MELBOURNE
129,1/11/2021,MELBOURNE
33,1/05/2020,MELBOURNE
247,1/03/2021,MELBOURNE
202,1/04/2022,MELBOURNE
84,1/03/2020,MELBOURNE
151,1/08/2021,MELBOURNE
196,1/06/2022,MELBOURNE
23,1/08/2020,MELBOURNE
89,1/07/2020,MELBOURNE
42,1/10/2020,MELBOURNE
24,1/09/2020,MELBOURNE
196,1/05/2022,MELBOURNE
187,1/03/2022,MELBOURNE
169,1/07/2021,MELBOURNE
280,1/04/2021,MELBOURNE
4,1/02/2021,DOCKLANDS
3,1/07/2021,DOCKLANDS
5,1/04/2022,DOCKLANDS
9,1/11/2020,DOCKLANDS
1,1/03/2021,DOCKLANDS
4,1/01/2021,DOCKLANDS
1,1/02/2022,DOCKLANDS
5,1/05/2021,DOCKLANDS
1,1/01/2020,DOCKLANDS
3,1/05/2022,DOCKLANDS
6,1/10/2020,DOCKLANDS
4,1/04/2021,DOCKLANDS
3,1/03/2022,DOCKLANDS
6,1/12/2021,DOCKLANDS
2,1/01/2022,DOCKLANDS
8,1/03/2020,DOCKLANDS
1,1/07/2020,DOCKLANDS
5,1/10/2021,DOCKLANDS
4,1/06/2022,DOCKLANDS
1,1/11/2021,DOCKLANDS
172,1/06/2020,SOUTH WHARF
172,1/06/2020,SOUTHBANK
251,1/03/2022,SOUTH WHARF
251,1/03/2022,SOUTHBANK
157,1/02/2021,SOUTH WHARF
157,1/02/2021,SOUTHBANK
151,1/01/2022,SOUTH WHARF
151,1/01/2022,SOUTHBANK
329,1/11/2021,SOUTH WHARF
329,1/11/2021,SOUTHBANK
280,1/02/2020,SOUTH WHARF
280,1/02/2020,SOUTHBANK
283,1/10/2021,SOUTH WHARF
283,1/10/2021,SOUTHBANK
137,1/07/2020,SOUTH WHARF
137,1/07/2020,SOUTHBANK
118,1/04/2020,SOUTH WHARF
118,1/04/2020,SOUTHBANK
467,1/01/2020,SOUTH WHARF
467,1/01/2020,SOUTHBANK
183,1/09/2021,SOUTH WHARF
183,1/09/2021,SOUTHBANK
179,1/04/2021,SOUTH WHARF
179,1/04/2021,SOUTHBANK
154,1/01/2021,SOUTH WHARF
154,1/01/2021,SOUTHBANK
108,1/05/2020,SOUTH WHARF
108,1/05/2020,SOUTHBANK
222,1/03/2020,SOUTH WHARF
222,1/03/2020,SOUTHBANK
203,1/08/2021,SOUTH WHARF
203,1/08/2021,SOUTHBANK
219,1/02/2022,SOUTH WHARF
219,1/02/2022,SOUTHBANK
189,1/05/2021,SOUTH WHARF
189,1/05/2021,SOUTHBANK
247,1/12/2020,SOUTH WHARF
247,1/12/2020,SOUTHBANK
47,1/09/2020,SOUTH WHARF
47,1/09/2020,SOUTHBANK
29,1/08/2020,SOUTH WHARF
29,1/08/2020,SOUTHBANK
222,1/07/2021,SOUTH WHARF
222,1/07/2021,SOUTHBANK
203,1/04/2022,SOUTH WHARF
203,1/04/2022,SOUTHBANK
272,1/10/2020,SOUTH WHARF
272,1/10/2020,SOUTHBANK
233,1/12/2021,SOUTH WHARF
233,1/12/2021,SOUTHBANK
275,1/11/2020,SOUTH WHARF
275,1/11/2020,SOUTHBANK
232,1/06/2022,SOUTH WHARF
232,1/06/2022,SOUTHBANK
233,1/05/2022,SOUTH WHARF
233,1/05/2022,SOUTHBANK
214,1/03/2021,SOUTH WHARF
214,1/03/2021,SOUTHBANK
94,1/08/2021,DOCKLANDS
53,1/01/2022,DOCKLANDS
106,1/06/2020,DOCKLANDS
74,1/05/2021,DOCKLANDS
88,1/11/2021,DOCKLANDS
43,1/04/2021,DOCKLANDS
22,1/04/2020,DOCKLANDS
37,1/02/2020,DOCKLANDS
68,1/09/2021,DOCKLANDS
62,1/06/2022,DOCKLANDS
47,1/01/2020,DOCKLANDS
60,1/12/2020,DOCKLANDS
43,1/05/2020,DOCKLANDS
34,1/02/2021,DOCKLANDS
43,1/07/2020,DOCKLANDS
121,1/10/2021,DOCKLANDS
66,1/04/2022,DOCKLANDS
47,1/03/2020,DOCKLANDS
74,1/05/2022,DOCKLANDS
17,1/08/2020,DOCKLANDS
107,1/12/2021,DOCKLANDS
51,1/01/2021,DOCKLANDS
121,1/03/2022,DOCKLANDS
52,1/11/2020,DOCKLANDS
13,1/09/2020,DOCKLANDS
46,1/10/2020,DOCKLANDS
71,1/03/2021,DOCKLANDS
83,1/02/2022,DOCKLANDS
57,1/07/2021,DOCKLANDS
70,1/09/2021,SEDDON WEST
70,1/09/2021,SEDDON
70,1/09/2021,FOOTSCRAY
48,1/02/2021,SEDDON WEST
48,1/02/2021,SEDDON
48,1/02/2021,FOOTSCRAY
63,1/01/2022,SEDDON WEST
63,1/01/2022,SEDDON
63,1/01/2022,FOOTSCRAY
15,1/04/2020,SEDDON WEST
15,1/04/2020,SEDDON
15,1/04/2020,FOOTSCRAY
84,1/05/2021,SEDDON WEST
84,1/05/2021,SEDDON
84,1/05/2021,FOOTSCRAY
50,1/02/2022,SEDDON WEST
50,1/02/2022,SEDDON
50,1/02/2022,FOOTSCRAY
63,1/05/2022,SEDDON WEST
63,1/05/2022,SEDDON
63,1/05/2022,FOOTSCRAY
86,1/12/2020,SEDDON WEST
86,1/12/2020,SEDDON
86,1/12/2020,FOOTSCRAY
56,1/08/2021,SEDDON WEST
56,1/08/2021,SEDDON
56,1/08/2021,FOOTSCRAY
77,1/04/2021,SEDDON WEST
77,1/04/2021,SEDDON
77,1/04/2021,FOOTSCRAY
40,1/07/2020,SEDDON WEST
40,1/07/2020,SEDDON
40,1/07/2020,FOOTSCRAY
63,1/03/2022,SEDDON WEST
63,1/03/2022,SEDDON
63,1/03/2022,FOOTSCRAY
46,1/04/2022,SEDDON WEST
46,1/04/2022,SEDDON
46,1/04/2022,FOOTSCRAY
56,1/07/2021,SEDDON WEST
56,1/07/2021,SEDDON
56,1/07/2021,FOOTSCRAY
75,1/11/2021,SEDDON WEST
75,1/11/2021,SEDDON
75,1/11/2021,FOOTSCRAY
10,1/08/2020,SEDDON WEST
10,1/08/2020,SEDDON
10,1/08/2020,FOOTSCRAY
81,1/02/2020,SEDDON WEST
81,1/02/2020,SEDDON
81,1/02/2020,FOOTSCRAY
88,1/06/2022,SEDDON WEST
88,1/06/2022,SEDDON
88,1/06/2022,FOOTSCRAY
44,1/10/2021,SEDDON WEST
44,1/10/2021,SEDDON
44,1/10/2021,FOOTSCRAY
80,1/06/2020,SEDDON WEST
80,1/06/2020,SEDDON
80,1/06/2020,FOOTSCRAY
39,1/03/2020,SEDDON WEST
39,1/03/2020,SEDDON
39,1/03/2020,FOOTSCRAY
18,1/09/2020,SEDDON WEST
18,1/09/2020,SEDDON
18,1/09/2020,FOOTSCRAY
62,1/01/2020,SEDDON WEST
62,1/01/2020,SEDDON
62,1/01/2020,FOOTSCRAY
39,1/10/2020,SEDDON WEST
39,1/10/2020,SEDDON
39,1/10/2020,FOOTSCRAY
34,1/05/2020,SEDDON WEST
34,1/05/2020,SEDDON
34,1/05/2020,FOOTSCRAY
70,1/11/2020,SEDDON WEST
70,1/11/2020,SEDDON
70,1/11/2020,FOOTSCRAY
54,1/12/2021,SEDDON WEST
54,1/12/2021,SEDDON
54,1/12/2021,FOOTSCRAY
60,1/01/2021,SEDDON WEST
60,1/01/2021,SEDDON
60,1/01/2021,FOOTSCRAY
63,1/03/2021,SEDDON WEST
63,1/03/2021,SEDDON
63,1/03/2021,FOOTSCRAY
69,1/02/2020,KINGSVILLE
69,1/02/2020,BROOKLYN
69,1/02/2020,MAIDSTONE
69,1/02/2020,WEST FOOTSCRAY
69,1/02/2020,TOTTENHAM
56,1/08/2021,KINGSVILLE
56,1/08/2021,BROOKLYN
56,1/08/2021,MAIDSTONE
56,1/08/2021,WEST FOOTSCRAY
56,1/08/2021,TOTTENHAM
58,1/01/2022,KINGSVILLE
58,1/01/2022,BROOKLYN
58,1/01/2022,MAIDSTONE
58,1/01/2022,WEST FOOTSCRAY
58,1/01/2022,TOTTENHAM
66,1/01/2020,KINGSVILLE
66,1/01/2020,BROOKLYN
66,1/01/2020,MAIDSTONE
66,1/01/2020,WEST FOOTSCRAY
66,1/01/2020,TOTTENHAM
73,1/05/2022,KINGSVILLE
73,1/05/2022,BROOKLYN
73,1/05/2022,MAIDSTONE
73,1/05/2022,WEST FOOTSCRAY
73,1/05/2022,TOTTENHAM
18,1/04/2020,KINGSVILLE
18,1/04/2020,BROOKLYN
18,1/04/2020,MAIDSTONE
18,1/04/2020,WEST FOOTSCRAY
18,1/04/2020,TOTTENHAM
68,1/10/2021,KINGSVILLE
68,1/10/2021,BROOKLYN
68,1/10/2021,MAIDSTONE
68,1/10/2021,WEST FOOTSCRAY
68,1/10/2021,TOTTENHAM
75,1/02/2021,KINGSVILLE
75,1/02/2021,BROOKLYN
75,1/02/2021,MAIDSTONE
75,1/02/2021,WEST FOOTSCRAY
75,1/02/2021,TOTTENHAM
72,1/11/2021,KINGSVILLE
72,1/11/2021,BROOKLYN
72,1/11/2021,MAIDSTONE
72,1/11/2021,WEST FOOTSCRAY
72,1/11/2021,TOTTENHAM
33,1/09/2020,KINGSVILLE
33,1/09/2020,BROOKLYN
33,1/09/2020,MAIDSTONE
33,1/09/2020,WEST FOOTSCRAY
33,1/09/2020,TOTTENHAM
76,1/05/2021,KINGSVILLE
76,1/05/2021,BROOKLYN
76,1/05/2021,MAIDSTONE
76,1/05/2021,WEST FOOTSCRAY
76,1/05/2021,TOTTENHAM
22,1/08/2020,KINGSVILLE
22,1/08/2020,BROOKLYN
22,1/08/2020,MAIDSTONE
22,1/08/2020,WEST FOOTSCRAY
22,1/08/2020,TOTTENHAM
79,1/02/2022,KINGSVILLE
79,1/02/2022,BROOKLYN
79,1/02/2022,MAIDSTONE
79,1/02/2022,WEST FOOTSCRAY
79,1/02/2022,TOTTENHAM
68,1/07/2020,KINGSVILLE
68,1/07/2020,BROOKLYN
68,1/07/2020,MAIDSTONE
68,1/07/2020,WEST FOOTSCRAY
68,1/07/2020,TOTTENHAM
71,1/07/2021,KINGSVILLE
71,1/07/2021,BROOKLYN
71,1/07/2021,MAIDSTONE
71,1/07/2021,WEST FOOTSCRAY
71,1/07/2021,TOTTENHAM
53,1/03/2020,KINGSVILLE
53,1/03/2020,BROOKLYN
53,1/03/2020,MAIDSTONE
53,1/03/2020,WEST FOOTSCRAY
53,1/03/2020,TOTTENHAM
103,1/12/2020,KINGSVILLE
103,1/12/2020,BROOKLYN
103,1/12/2020,MAIDSTONE
103,1/12/2020,WEST FOOTSCRAY
103,1/12/2020,TOTTENHAM
86,1/03/2022,KINGSVILLE
86,1/03/2022,BROOKLYN
86,1/03/2022,MAIDSTONE
86,1/03/2022,WEST FOOTSCRAY
86,1/03/2022,TOTTENHAM
99,1/06/2020,KINGSVILLE
99,1/06/2020,BROOKLYN
99,1/06/2020,MAIDSTONE
99,1/06/2020,WEST FOOTSCRAY
99,1/06/2020,TOTTENHAM
61,1/09/2021,KINGSVILLE
61,1/09/2021,BROOKLYN
61,1/09/2021,MAIDSTONE
61,1/09/2021,WEST FOOTSCRAY
61,1/09/2021,TOTTENHAM
89,1/03/2021,KINGSVILLE
89,1/03/2021,BROOKLYN
89,1/03/2021,MAIDSTONE
89,1/03/2021,WEST FOOTSCRAY
89,1/03/2021,TOTTENHAM
66,1/12/2021,KINGSVILLE
66,1/12/2021,BROOKLYN
66,1/12/2021,MAIDSTONE
66,1/12/2021,WEST FOOTSCRAY
66,1/12/2021,TOTTENHAM
71,1/06/2022,KINGSVILLE
71,1/06/2022,BROOKLYN
71,1/06/2022,MAIDSTONE
71,1/06/2022,WEST FOOTSCRAY
71,1/06/2022,TOTTENHAM
44,1/05/2020,KINGSVILLE
44,1/05/2020,BROOKLYN
44,1/05/2020,MAIDSTONE
44,1/05/2020,WEST FOOTSCRAY
44,1/05/2020,TOTTENHAM
58,1/04/2021,KINGSVILLE
58,1/04/2021,BROOKLYN
58,1/04/2021,MAIDSTONE
58,1/04/2021,WEST FOOTSCRAY
58,1/04/2021,TOTTENHAM
57,1/04/2022,KINGSVILLE
57,1/04/2022,BROOKLYN
57,1/04/2022,MAIDSTONE
57,1/04/2022,WEST FOOTSCRAY
57,1/04/2022,TOTTENHAM
82,1/11/2020,KINGSVILLE
82,1/11/2020,BROOKLYN
82,1/11/2020,MAIDSTONE
82,1/11/2020,WEST FOOTSCRAY
82,1/11/2020,TOTTENHAM
62,1/10/2020,KINGSVILLE
62,1/10/2020,BROOKLYN
62,1/10/2020,MAIDSTONE
62,1/10/2020,WEST FOOTSCRAY
62,1/10/2020,TOTTENHAM
58,1/01/2021,KINGSVILLE
58,1/01/2021,BROOKLYN
58,1/01/2021,MAIDSTONE
58,1/01/2021,WEST FOOTSCRAY
58,1/01/2021,TOTTENHAM
46,1/02/2022,YARRAVILLE
26,1/10/2021,YARRAVILLE
37,1/12/2020,YARRAVILLE
29,1/07/2020,YARRAVILLE
46,1/05/2021,YARRAVILLE
60,1/06/2020,YARRAVILLE
15,1/04/2020,YARRAVILLE
6,1/08/2020,YARRAVILLE
28,1/08/2021,YARRAVILLE
25,1/01/2021,YARRAVILLE
55,1/03/2022,YARRAVILLE
37,1/01/2022,YARRAVILLE
26,1/05/2020,YARRAVILLE
35,1/11/2021,YARRAVILLE
32,1/12/2021,YARRAVILLE
18,1/09/2020,YARRAVILLE
39,1/01/2020,YARRAVILLE
42,1/03/2021,YARRAVILLE
28,1/02/2021,YARRAVILLE
40,1/06/2022,YARRAVILLE
26,1/04/2022,YARRAVILLE
45,1/05/2022,YARRAVILLE
43,1/11/2020,YARRAVILLE
37,1/07/2021,YARRAVILLE
26,1/10/2020,YARRAVILLE
29,1/09/2021,YARRAVILLE
33,1/04/2021,YARRAVILLE
22,1/02/2020,YARRAVILLE
35,1/03/2020,YARRAVILLE
36,1/10/2021,SOUTH KINGSVILLE
36,1/10/2021,NEWPORT
36,1/10/2021,SPOTSWOOD
50,1/02/2022,SOUTH KINGSVILLE
50,1/02/2022,NEWPORT
50,1/02/2022,SPOTSWOOD
59,1/03/2022,SOUTH KINGSVILLE
59,1/03/2022,NEWPORT
59,1/03/2022,SPOTSWOOD
25,1/10/2020,SOUTH KINGSVILLE
25,1/10/2020,NEWPORT
25,1/10/2020,SPOTSWOOD
24,1/05/2020,SOUTH KINGSVILLE
24,1/05/2020,NEWPORT
24,1/05/2020,SPOTSWOOD
39,1/12/2021,SOUTH KINGSVILLE
39,1/12/2021,NEWPORT
39,1/12/2021,SPOTSWOOD
62,1/06/2020,SOUTH KINGSVILLE
62,1/06/2020,NEWPORT
62,1/06/2020,SPOTSWOOD
45,1/03/2020,SOUTH KINGSVILLE
45,1/03/2020,NEWPORT
45,1/03/2020,SPOTSWOOD
37,1/01/2021,SOUTH KINGSVILLE
37,1/01/2021,NEWPORT
37,1/01/2021,SPOTSWOOD
53,1/01/2022,SOUTH KINGSVILLE
53,1/01/2022,NEWPORT
53,1/01/2022,SPOTSWOOD
35,1/07/2020,SOUTH KINGSVILLE
35,1/07/2020,NEWPORT
35,1/07/2020,SPOTSWOOD
55,1/05/2021,SOUTH KINGSVILLE
55,1/05/2021,NEWPORT
55,1/05/2021,SPOTSWOOD
44,1/11/2021,SOUTH KINGSVILLE
44,1/11/2021,NEWPORT
44,1/11/2021,SPOTSWOOD
38,1/02/2021,SOUTH KINGSVILLE
38,1/02/2021,NEWPORT
38,1/02/2021,SPOTSWOOD
16,1/04/2020,SOUTH KINGSVILLE
16,1/04/2020,NEWPORT
16,1/04/2020,SPOTSWOOD
53,1/08/2021,SOUTH KINGSVILLE
53,1/08/2021,NEWPORT
53,1/08/2021,SPOTSWOOD
58,1/07/2021,SOUTH KINGSVILLE
58,1/07/2021,NEWPORT
58,1/07/2021,SPOTSWOOD
55,1/01/2020,SOUTH KINGSVILLE
55,1/01/2020,NEWPORT
55,1/01/2020,SPOTSWOOD
13,1/09/2020,SOUTH KINGSVILLE
13,1/09/2020,NEWPORT
13,1/09/2020,SPOTSWOOD
56,1/06/2022,SOUTH KINGSVILLE
56,1/06/2022,NEWPORT
56,1/06/2022,SPOTSWOOD
52,1/04/2021,SOUTH KINGSVILLE
52,1/04/2021,NEWPORT
52,1/04/2021,SPOTSWOOD
41,1/02/2020,SOUTH KINGSVILLE
41,1/02/2020,NEWPORT
41,1/02/2020,SPOTSWOOD
44,1/04/2022,SOUTH KINGSVILLE
44,1/04/2022,NEWPORT
44,1/04/2022,SPOTSWOOD
11,1/08/2020,SOUTH KINGSVILLE
11,1/08/2020,NEWPORT
11,1/08/2020,SPOTSWOOD
67,1/03/2021,SOUTH KINGSVILLE
67,1/03/2021,NEWPORT
67,1/03/2021,SPOTSWOOD
49,1/09/2021,SOUTH KINGSVILLE
49,1/09/2021,NEWPORT
49,1/09/2021,SPOTSWOOD
67,1/12/2020,SOUTH KINGSVILLE
67,1/12/2020,NEWPORT
67,1/12/2020,SPOTSWOOD
72,1/11/2020,SOUTH KINGSVILLE
72,1/11/2020,NEWPORT
72,1/11/2020,SPOTSWOOD
51,1/05/2022,SOUTH KINGSVILLE
51,1/05/2022,NEWPORT
51,1/05/2022,SPOTSWOOD
56,1/02/2020,WILLIAMSTOWN NORTH
56,1/02/2020,WILLIAMSTOWN
11,1/09/2020,WILLIAMSTOWN NORTH
11,1/09/2020,WILLIAMSTOWN
34,1/04/2022,WILLIAMSTOWN NORTH
34,1/04/2022,WILLIAMSTOWN
53,1/12/2021,WILLIAMSTOWN NORTH
53,1/12/2021,WILLIAMSTOWN
70,1/06/2020,WILLIAMSTOWN NORTH
70,1/06/2020,WILLIAMSTOWN
36,1/01/2022,WILLIAMSTOWN NORTH
36,1/01/2022,WILLIAMSTOWN
24,1/08/2021,WILLIAMSTOWN NORTH
24,1/08/2021,WILLIAMSTOWN
41,1/02/2022,WILLIAMSTOWN NORTH
41,1/02/2022,WILLIAMSTOWN
33,1/07/2020,WILLIAMSTOWN NORTH
33,1/07/2020,WILLIAMSTOWN
54,1/01/2021,WILLIAMSTOWN NORTH
54,1/01/2021,WILLIAMSTOWN
56,1/05/2021,WILLIAMSTOWN NORTH
56,1/05/2021,WILLIAMSTOWN
48,1/09/2021,WILLIAMSTOWN NORTH
48,1/09/2021,WILLIAMSTOWN
14,1/08/2020,WILLIAMSTOWN NORTH
14,1/08/2020,WILLIAMSTOWN
60,1/03/2022,WILLIAMSTOWN NORTH
60,1/03/2022,WILLIAMSTOWN
72,1/12/2020,WILLIAMSTOWN NORTH
72,1/12/2020,WILLIAMSTOWN
25,1/10/2020,WILLIAMSTOWN NORTH
25,1/10/2020,WILLIAMSTOWN
37,1/02/2021,WILLIAMSTOWN NORTH
37,1/02/2021,WILLIAMSTOWN
26,1/04/2020,WILLIAMSTOWN NORTH
26,1/04/2020,WILLIAMSTOWN
42,1/03/2020,WILLIAMSTOWN NORTH
42,1/03/2020,WILLIAMSTOWN
37,1/01/2020,WILLIAMSTOWN NORTH
37,1/01/2020,WILLIAMSTOWN
60,1/06/2022,WILLIAMSTOWN NORTH
60,1/06/2022,WILLIAMSTOWN
37,1/05/2020,WILLIAMSTOWN NORTH
37,1/05/2020,WILLIAMSTOWN
58,1/03/2021,WILLIAMSTOWN NORTH
58,1/03/2021,WILLIAMSTOWN
57,1/11/2021,WILLIAMSTOWN NORTH
57,1/11/2021,WILLIAMSTOWN
56,1/07/2021,WILLIAMSTOWN NORTH
56,1/07/2021,WILLIAMSTOWN
63,1/05/2022,WILLIAMSTOWN NORTH
63,1/05/2022,WILLIAMSTOWN
28,1/10/2021,WILLIAMSTOWN NORTH
28,1/10/2021,WILLIAMSTOWN
50,1/11/2020,WILLIAMSTOWN NORTH
50,1/11/2020,WILLIAMSTOWN
44,1/04/2021,WILLIAMSTOWN NORTH
44,1/04/2021,WILLIAMSTOWN
68,1/11/2020,ALTONA
68,1/11/2020,SEAHOLME
89,1/06/2020,ALTONA
89,1/06/2020,SEAHOLME
46,1/04/2022,ALTONA
46,1/04/2022,SEAHOLME
48,1/05/2021,ALTONA
48,1/05/2021,SEAHOLME
82,1/01/2020,ALTONA
82,1/01/2020,SEAHOLME
42,1/04/2020,ALTONA
42,1/04/2020,SEAHOLME
51,1/11/2021,ALTONA
51,1/11/2021,SEAHOLME
67,1/12/2021,ALTONA
67,1/12/2021,SEAHOLME
34,1/01/2021,ALTONA
34,1/01/2021,SEAHOLME
69,1/02/2020,ALTONA
69,1/02/2020,SEAHOLME
66,1/10/2021,ALTONA
66,1/10/2021,SEAHOLME
21,1/01/2022,ALTONA
21,1/01/2022,SEAHOLME
42,1/07/2020,ALTONA
42,1/07/2020,SEAHOLME
82,1/12/2020,ALTONA
82,1/12/2020,SEAHOLME
113,1/02/2021,ALTONA
113,1/02/2021,SEAHOLME
31,1/05/2020,ALTONA
31,1/05/2020,SEAHOLME
72,1/03/2022,ALTONA
72,1/03/2022,SEAHOLME
50,1/10/2020,ALTONA
50,1/10/2020,SEAHOLME
43,1/09/2021,ALTONA
43,1/09/2021,SEAHOLME
18,1/09/2020,ALTONA
18,1/09/2020,SEAHOLME
59,1/03/2020,ALTONA
59,1/03/2020,SEAHOLME
56,1/07/2021,ALTONA
56,1/07/2021,SEAHOLME
49,1/02/2022,ALTONA
49,1/02/2022,SEAHOLME
40,1/08/2021,ALTONA
40,1/08/2021,SEAHOLME
71,1/03/2021,ALTONA
71,1/03/2021,SEAHOLME
50,1/05/2022,ALTONA
50,1/05/2022,SEAHOLME
49,1/08/2020,ALTONA
49,1/08/2020,SEAHOLME
64,1/06/2022,ALTONA
64,1/06/2022,SEAHOLME
52,1/04/2021,ALTONA
52,1/04/2021,SEAHOLME
84,1/03/2022,BRAYBROOK
87,1/04/2022,BRAYBROOK
46,1/11/2021,BRAYBROOK
21,1/02/2021,BRAYBROOK
33,1/07/2021,BRAYBROOK
15,1/04/2020,BRAYBROOK
22,1/06/2020,BRAYBROOK
51,1/05/2021,BRAYBROOK
20,1/07/2020,BRAYBROOK
19,1/01/2022,BRAYBROOK
30,1/02/2022,BRAYBROOK
29,1/01/2020,BRAYBROOK
52,1/03/2020,BRAYBROOK
34,1/10/2020,BRAYBROOK
29,1/05/2020,BRAYBROOK
39,1/02/2020,BRAYBROOK
29,1/09/2021,BRAYBROOK
5,1/08/2020,BRAYBROOK
15,1/08/2021,BRAYBROOK
127,1/12/2021,BRAYBROOK
40,1/03/2021,BRAYBROOK
41,1/11/2020,BRAYBROOK
25,1/04/2021,BRAYBROOK
85,1/05/2022,BRAYBROOK
12,1/09/2020,BRAYBROOK
30,1/10/2021,BRAYBROOK
68,1/06/2022,BRAYBROOK
21,1/01/2021,BRAYBROOK
76,1/12/2020,BRAYBROOK
103,1/05/2020,GLENGALA
103,1/05/2020,ALBION
103,1/05/2020,SUNSHINE NORTH
103,1/05/2020,SUNSHINE WEST
103,1/05/2020,SUNSHINE
77,1/02/2021,GLENGALA
77,1/02/2021,ALBION
77,1/02/2021,SUNSHINE NORTH
77,1/02/2021,SUNSHINE WEST
77,1/02/2021,SUNSHINE
120,1/02/2020,GLENGALA
120,1/02/2020,ALBION
120,1/02/2020,SUNSHINE NORTH
120,1/02/2020,SUNSHINE WEST
120,1/02/2020,SUNSHINE
144,1/06/2020,GLENGALA
144,1/06/2020,ALBION
144,1/06/2020,SUNSHINE NORTH
144,1/06/2020,SUNSHINE WEST
144,1/06/2020,SUNSHINE
94,1/07/2020,GLENGALA
94,1/07/2020,ALBION
94,1/07/2020,SUNSHINE NORTH
94,1/07/2020,SUNSHINE WEST
94,1/07/2020,SUNSHINE
109,1/04/2022,GLENGALA
109,1/04/2022,ALBION
109,1/04/2022,SUNSHINE NORTH
109,1/04/2022,SUNSHINE WEST
109,1/04/2022,SUNSHINE
110,1/05/2021,GLENGALA
110,1/05/2021,ALBION
110,1/05/2021,SUNSHINE NORTH
110,1/05/2021,SUNSHINE WEST
110,1/05/2021,SUNSHINE
84,1/01/2022,GLENGALA
84,1/01/2022,ALBION
84,1/01/2022,SUNSHINE NORTH
84,1/01/2022,SUNSHINE WEST
